,Credit Suisse Hedge Fund Index ,Credit Suisse Convertible Arbitrage Hedge Fund Index,Credit Suisse Emerging Markets Hedge Fund Index,Credit Suisse Equity Market Neutral Hedge Fund Index,Credit Suisse Event Driven Hedge Fund Index,Credit Suisse Event Driven Distressed Hedge Fund Index,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,Credit Suisse Global Macro Hedge Fund Index,Credit Suisse Long/Short Equity Hedge Fund Index,Credit Suisse Managed Futures Hedge Fund Index,Credit Suisse Multi-Strategy Hedge Fund Index
Date,HEDG,HEDG_CVARB,HEDG_EMMKT,HEDG_EQNTR,HEDG_EVDRV,HEDG_DISTR,HEDG_MSEVD,HEDG_MRARB,HEDG_FIARB,HEDG_GLMAC,HEDG_LOSHO,HEDG_MGFUT,HEDG_MULTI
2011-11-30,-0.79%,-0.60%,-2.69%,0.09%,-1.05%,-1.20%,-0.97%,-0.27%,0.50%,-0.03%,-1.48%,0.18%,-0.89%
2011-10-31,1.73%,1.18%,3.70%,2.76%,2.56%,1.99%,2.90%,1.91%,0.14%,0.18%,4.45%,-5.06%,2.05%
2011-9-30,-3.20%,-1.77%,-7.47%,-2.22%,-5.06%,-3.28%,-6.15%,-1.63%,-0.19%,-0.07%,-5.22%,-0.78%,-2.37%
2011-8-31,-2.30%,-1.73%,-3.15%,-0.89%,-5.37%,-4.41%,-5.98%,-0.92%,-0.27%,1.91%,-4.44%,0.25%,-1.93%
2011-7-31,0.69%,-0.14%,1.67%,-0.18%,-0.78%,-0.26%,-1.07%,-0.77%,0.55%,2.53%,-0.41%,4.03%,0.61%
2011-6-30,-1.36%,-0.86%,-0.65%,-0.29%,-2.16%,-0.70%,-3.08%,-0.04%,0.06%,-1.11%,-1.49%,-3.07%,-0.64%
2011-5-31,-0.96%,0.02%,-1.10%,-1.03%,-0.61%,0.01%,-0.98%,-1.05%,0.21%,-0.63%,-1.68%,-4.44%,-0.05%
2011-4-30,1.80%,0.06%,2.32%,3.37%,1.14%,1.14%,1.13%,1.74%,0.92%,2.46%,1.70%,5.40%,0.85%
2011-3-31,0.12%,-0.61%,2.12%,1.11%,-0.26%,-0.10%,-0.37%,0.59%,-0.31%,0.15%,0.28%,-2.76%,0.79%
2011-2-28,1.38%,2.90%,-0.07%,0.52%,1.44%,0.86%,1.88%,0.79%,0.93%,1.28%,1.72%,2.60%,1.39%
